,Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBH,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,UD
107,2018-06-06,102.83999633789062,105.54000091552734,102.0199966430664,104.3000030517578,103.5473861694336,687800,98.97799987792969,1.4124994572149905,114.92103239395453,64.80450115503635,10327400.0,73.35525110488155,5.172266965955529,3.2459384672856135,3.8526569973398317,1.82,11.64,0.53,76.22582969924174,57.68258525892198,1.696573259150047
108,2018-06-07,104.19000244140624,104.3000030517578,96.87999725341795,99.06999969482422,98.35511779785156,1279600,101.14199981689453,1.3633771469349916,116.1701287396837,66.26227151869848,11607000.0,71.6783139366296,5.033869415949752,3.538899342581042,2.9899401467374203,1.82,12.13,0.56,75.3857457271848,69.44922354996396,-5.0143846633813105
109,2018-06-08,98.5,100.83999633789062,97.66999816894533,99.62000274658205,98.9011459350586,495500,101.44199981689454,1.1467544159712277,116.23263853400033,68.1617617447269,11111500.0,59.74025046338583,4.911947141117352,3.811149379595152,2.2015955230444,1.82,12.18,0.6,72.77919767669137,76.2381548394139,0.5551660981649942
110,2018-06-11,99.88999938964844,100.5999984741211,96.5009994506836,98.2699966430664,97.5608901977539,634200,101.16000061035156,1.3718760476314589,115.69495908346585,70.50940798196385,11745700.0,61.253385412715794,4.652754591140678,4.066197648361956,1.1731138855574432,1.82,12.35,0.54,67.42495248708393,74.79692436770597,-1.3551556577947932
111,2018-06-12,98.4499969482422,102.68000030517578,98.1500015258789,101.48999786376952,100.7576675415039,721700,100.76399993896484,1.126083330368433,115.30351713702835,72.32721609864875,11024000.0,69.67098458330152,4.653526854877256,4.306103108905423,0.6948474919436674,1.82,12.34,0.5,60.478301094237025,71.86329863032005,3.2766880336820625
112,2018-06-13,101.62999725341795,104.48999786376952,100.25,102.08999633789062,101.3533172607422,669300,100.55,1.063276884386531,116.23986850009437,72.56153149380212,10354700.0,71.97591258527797,4.648963385884201,4.5159879297714856,0.2659509122254313,1.82,12.94,0.54,44.8986094006308,66.89415041933744,0.5911897593361859
113,2018-06-14,103.08999633789062,103.91999816894533,101.5,103.2699966430664,102.52481079101562,480800,100.10799865722656,0.9175553973878933,117.13051982082578,73.10871332329859,9873900.0,71.62550001357586,4.68653945718988,4.669026635747297,0.03502564288516652,1.82,12.12,0.5,38.91629671996518,57.60062099398392,1.1558432241199235
114,2018-06-15,101.5,103.74700164794922,100.79499816894533,102.23999786376952,101.5022430419922,502800,100.947998046875,0.8420942158161332,118.3424300794907,73.11546939560694,9371100.0,71.6980938729452,4.580406397246833,4.75557484042877,-0.35033688636387517,1.82,11.98,0.61,32.55699507183812,48.09773573827766,-0.99738434470652
115,2018-06-18,100.68000030517578,103.73999786376952,99.02999877929688,103.0,102.25675964355467,763600,101.4719970703125,0.7207510453027579,119.26987545840433,73.21142387834698,8607500.0,69.1153294684755,4.505682302492204,4.78682715208333,-0.5622896991822515,1.82,12.31,0.54,37.79133891878828,38.790633730811365,0.7433510877447036
116,2018-06-19,101.12999725341795,107.9800033569336,101.0999984741211,107.68000030517578,106.92272186279295,995300,102.41799774169922,0.7920487048992566,119.91996673284142,73.56109914443722,7612200.0,73.16058109302364,4.769124334621637,4.76066183465041,0.016924999942453667,1.82,13.35,0.59,41.3675364974569,36.421543570197194,4.543689616675506
117,2018-06-20,109.25,114.98999786376952,109.0,114.79000091552734,113.98270416259766,938200,103.65599822998047,1.0877369624623583,120.80687862495948,74.34152072806786,6674000.0,72.91799856770356,5.488355327746859,4.7158682089466435,1.5449742376004316,1.82,12.79,0.56,47.234721876927836,37.23862349602777,6.602898022103565
118,2018-06-21,114.79000091552734,116.12000274658205,107.1520004272461,107.81999969482422,107.06172943115234,1176200,106.19599914550781,1.2283166909650183,123.80914466277711,73.86958789134071,7850200.0,75.3235198420267,5.433298540335912,4.766366643590767,1.3338637934902895,1.82,14.64,0.56,59.40846868182655,42.13119909772434,-6.071958502580966
119,2018-06-22,108.8499984741211,109.09700012207033,104.61000061035156,107.75,106.99221801757812,587600,107.10599975585937,1.0893321938791487,124.94087883040848,74.92225390071133,8437800.0,59.05091677780572,5.322660927360332,4.824294576837273,0.9967327010461169,1.82,13.77,0.56,74.5516891048219,49.336909018737096,0.0
120,2018-06-25,105.5,106.4000015258789,97.3499984741211,99.0,98.30377197265624,1243600,108.20800018310547,1.027215822928992,124.49639369681503,77.17430586780085,9681400.0,60.190212320968456,4.477316234261394,4.898728614195012,-0.842824759867236,1.82,17.33,0.61,73.3345170718252,60.39829322119209,-8.120649651972156
121,2018-06-26,100.0199966430664,101.8499984741211,95.30500030517578,99.7300033569336,99.02863311767578,795700,107.40800018310547,0.8889245974243896,122.78771799633626,79.99264826546388,10477100.0,45.883446056818826,3.822219477722612,4.8791496563488055,-2.1138603572523866,1.82,15.92,0.52,57.621204124849676,69.09822495282454,0.7373771282157549
122,2018-06-27,100.2699966430664,101.11900329589844,90.0999984741211,90.37000274658205,89.73445129394531,1217400,105.81800079345703,0.9165806137489261,119.78198753630909,84.07454551422802,11694500.0,44.58915737593028,2.5187422610590886,4.78728922210863,-4.537093922099082,1.82,17.91,0.67,27.83771900689506,68.50247010049893,-9.38534071522299
123,2018-06-28,90.3499984741211,92.6999969482422,85.45999908447266,91.83000183105467,91.18418884277344,1311000,100.93400115966797,0.6251604326965118,119.24653963545975,84.76129346390547,10383500.0,40.616917633506155,1.585262975413869,4.546422866982986,-5.922319783138233,1.82,16.85,0.65,12.780982993441834,52.93114673452332,1.6155793295334897
124,2018-06-29,93.2699966430664,98.48999786376952,93.0,94.94000244140624,94.27230834960938,977500,97.73600158691406,0.6534415606521716,121.37924279981098,81.95559021817405,9406000.0,41.76010265059655,1.083930102581263,4.213629153445989,-6.259398101729452,1.82,16.09,0.69,1.1690339840035022,32.74663537506219,3.3866933990410075
125,2018-07-02,92.5,98.1500015258789,91.3000030517578,98.1500015258789,97.45973205566406,623400,95.17400207519532,0.4926305506476611,121.8414413049419,81.00739165200798,8782600.0,46.604126283501905,0.9348637604899181,3.8334344645669964,-5.797141408154157,1.91,15.6,0.58,2.756334386359011,13.929245328113467,3.381081737862579
126,2018-07-03,99.0,101.9800033569336,96.81700134277344,100.33999633789062,99.63431549072266,616200,95.00400238037109,0.6093509792825411,122.17304096067399,80.31215877687485,8166400.0,46.593231286429116,0.982120614106023,3.407405511885694,-4.850569795559342,1.91,16.14,0.67,6.555770883951201,5.568783787934781,2.2312733346563363
127,2018-07-05,101.8000030517578,103.5500030517578,98.8000030517578,101.9000015258789,101.18336486816406,699100,95.1260009765625,0.5454095667070626,122.10772203186718,80.17471103291146,7467300.0,48.27109269028337,1.1323978151079501,2.9067127659256013,-3.5486299016353025,1.91,14.97,0.6,15.014129059678396,3.493713084771238,1.554719199645005
128,2018-07-06,103.27999877929688,110.68000030517578,102.93000030517578,110.51000213623048,109.7328109741211,1101300,97.43200073242187,0.5370009033852485,121.82474765519068,80.2040189768894,6366000.0,48.65660426593681,1.9240692000223163,2.428834907566939,-1.0095314150892456,1.91,13.37,0.57,24.26613328927223,8.108744776662869,8.449460727598668
129,2018-07-09,112.0,113.25,106.52400207519533,109.8499984741211,109.0774383544922,1021300,101.16800079345703,0.7610232874916393,123.07630865476793,79.74812473553155,7387300.0,57.05993105539643,2.469747979259637,2.051213604529382,0.83706874946051,1.91,12.69,0.53,35.557479018366614,15.278677744300609,-0.5972343220985277
130,2018-07-10,110.44000244140624,111.52999877929688,106.49099731445312,107.87999725341795,107.12129974365234,651400,104.15,0.7158074365080934,124.7164985531761,79.15773494698665,8038700.0,55.85770261441448,2.7119777177027657,1.828150465084742,1.7676545052360475,1.91,12.64,0.74,53.71820412948648,24.94591378910575,-1.7933557105758502
131,2018-07-11,105.8499984741211,109.5999984741211,105.06999969482422,108.47000122070312,107.70716094970705,485300,106.09599914550782,0.6699079713303757,125.70414592161899,79.18775420452033,7553400.0,50.17933726077418,2.9179189663780534,1.7047902695269812,2.4262573937021443,1.91,13.63,0.59,66.2446126866706,37.84727214570844,0.5469076587935051
132,2018-07-12,110.27999877929688,112.41999816894533,108.55999755859376,112.22000122070312,111.4307861328125,527200,107.72200012207031,0.6679804108357207,126.43560795630879,79.15029215965802,7026200.0,43.58245531018268,3.345161608885732,1.749143236784644,3.192036744202176,1.91,12.58,0.56,70.98754798129193,51.840098611507905,3.457177060752392
133,2018-07-13,111.7699966430664,112.79000091552734,109.8010025024414,111.1999969482422,110.4179458618164,444100,109.78600006103515,0.8286566507379766,127.93943217715459,78.52546803036493,7470300.0,54.78053062574448,3.560406510951708,1.9446875293926287,3.2314379631181587,1.91,12.18,0.62,64.32768124890353,63.65012159914968,-0.9089326870126091
134,2018-07-16,110.81999969482422,111.43000030517578,104.23999786376952,105.79000091552734,105.04601287841795,882400,109.9239990234375,0.7446018165636873,129.3246165504726,77.97698384218687,8352700.0,53.672552414100736,3.256904610975411,2.2198515747671226,2.074106072416577,1.91,12.83,0.7,67.2034277131858,67.1866139722887,-4.865104479483873
135,2018-07-17,105.0,110.41999816894533,104.27999877929688,109.91000366210938,109.13703155517578,525700,109.11199951171875,0.6604570293389235,129.711233536893,78.0796335692268,7827000.0,57.78134193019953,3.310663687804251,2.4778561137099553,1.665615148188591,1.91,12.06,0.65,66.01843966532881,67.50621898112708,3.894510550077257
136,2018-07-18,109.4000015258789,109.94000244140624,105.87999725341795,109.4000015258789,108.630615234375,431500,109.51800079345703,0.686745430546132,130.22122031299781,78.19764692536485,7827000.0,60.82517835855126,3.274370330431779,2.736583121898647,1.0755744170662638,1.91,12.1,0.56,57.11422427309975,65.84984954247271,-0.4640179412588652
